Study name	Biomaterial	Nucleic acid type	RNA extraction kit	Library prep kit	DNAse treatment	Strandedness	Library layout	Read length
Ngo	Blood plasma	Total RNA WTS	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	SMARTer Stranded Pico v2	Baseline-ZERO	Reverse	paired-end	2x75
Ibarra	Blood plasma	Total RNA TTS	Qiagen QIAamp Circulating Nucleic Acid Kit	Unspecified	Turbo DNAse	Unstranded	paired-end	2x75
Toden	Blood plasma	Total RNA TTS	Qiagen QIAamp Circulating Nucleic Acid Kit	Swift 2S kit	No	Unstranded	paired-end	2x75
Chalasani	Blood serum	Total RNA TTS	Qiagen QIAamp Circulating Nucleic Acid Kit	Unspecified	Turbo DNAse	Unstranded	paired-end	2x75
Zhu	Blood serum	Total RNA TTS	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	SMARTer Stranded Pico v2	DNAse I	Reverse	paired-end	2x75
Chen	Blood plasma	Total RNA WTS	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	SMARTer Stranded Pico v2	DNAse I	Reverse	paired-end	2x75
Roskams-Hieter_1	Blood plasma	Total RNA WTS	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	SMARTer Stranded Pico v2	Baseline-ZERO	Reverse	paired-end	2x100
Roskams-Hieter_2	Blood plasma	Total RNA WTS	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	SMARTer Stranded Pico v2	Baseline-ZERO	Reverse	paired-end	2x150
Block_1	Blood plasma	Total RNA WTS	Qiagen RNeasy Serum/Plasma Kit	SMARTer Stranded Pico v2	No	Reverse	paired-end	2x75
Block_2	Blood plasma	Total RNA WTS	Qiagen RNeasy Serum/Plasma Kit	SMARTer Stranded Pico v2	No	Reverse	paired-end	2x150
Rozowsky	Tissue	Total RNA WTS	Qiagen RNeasy Lipid or Fibrous Tissue Mini Kit	Own protocol	DNAse I	Reverse	paired-end	2x100
Tao	Blood plasma	Total RNA WTS	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	SMARTer Stranded Pico v2	DNAse I	Reverse	paired-end	2x150
Wei	Blood plasma	DNA	NA	Truseq Nano DNA HT	No	Unstranded	paired-end	2x150
Moufarrej	Blood plasma	Total RNA WTS	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit Slurry	SMARTer Stranded Pico v2	Baseline-ZERO	Reverse	paired-end	2x75
Wang	Blood plasma	Total RNA WTS	Apostle MiniMaxTM High-Efficiency cfRNA Isolation Kit	Own protocol	No	Unstranded	paired-end	2x150
Giráldez_1	Blood plasma	Total RNA WTS	Qiagen miRNeasy Mini Kit	Illumina TruSeq small RNA	No	Unstranded	single-end	50
Giráldez_2	Blood plasma	Total RNA WTS	Qiagen miRNeasy Mini Kit	Illumina TruSeq small RNA	No	Unstranded	single-end	75
Sun_1	Blood plasma	Total RNA WTS	MOF method	SMARTer Stranded Total RNA-Seq	DNAse I	Reverse	paired-end	2x150
Sun_2	Blood serum	Total RNA WTS	MOF method	SMARTer Stranded Total RNA-Seq	DNAse I	Reverse	paired-end	2x150
Decruyenaere	Blood plasma	Total RNA WTS	Qiagen miRNeasy Serum/Plasma kit	SMARTer stranded Pico v3	HL-dsDNase	Reverse	paired-end	2x100
Reggiardo	Blood plasma	Total RNA WTS	Qiagen ExoRNeasy kit	Takara SMART-Seq HT kit+Illumina Nextera XT DNA Prep 	No	Unstranded	paired-end	2x150
